City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Itaquyry,PY,2022-02-06 15:36:13,-24.9333,-55.2167,84.42,31,7,6.06
1,Bluff,NZ,2022-02-06 15:36:13,-46.6,168.3333,41.81,78,0,5.39
2,Mataura,NZ,2022-02-06 15:36:13,-46.1927,168.8643,41.49,99,1,2.04
3,Vardo,NO,2022-02-06 15:36:14,70.3705,31.1107,25.0,78,67,20.92
4,Elban,RU,2022-02-06 15:36:14,50.1018,136.5094,-12.42,100,96,2.3
5,Ushuaia,AR,2022-02-06 15:31:29,-54.8,-68.3,53.26,54,40,3.44
6,Albany,US,2022-02-06 15:36:14,42.6001,-73.9662,20.68,57,17,1.99
7,Te Anau,NZ,2022-02-06 15:36:15,-45.4167,167.7167,39.97,93,2,1.59
8,Port Alfred,ZA,2022-02-06 15:36:15,-33.5906,26.891,77.52,78,0,31.41
9,Puerto Ayora,EC,2022-02-06 15:36:15,-0.7393,-90.3518,80.56,88,70,4.0
10,Ketchikan,US,2022-02-06 15:36:16,55.3422,-131.6461,45.07,93,100,16.11
11,Moose Factory,CA,2022-02-06 15:36:16,51.2585,-80.6094,1.38,78,100,5.75
12,Oxford,GB,2022-02-06 15:33:18,51.7522,-1.256,51.49,74,40,3.0
13,Wuxi,CN,2022-02-06 15:36:17,31.5689,120.2886,38.98,57,100,8.41
14,Atuona,PF,2022-02-06 15:36:17,-9.8,-139.0333,78.42,75,11,19.8
15,Hovd,MN,2022-02-06 15:36:17,48.0056,91.6419,-12.82,79,10,3.4
16,Clyde River,CA,2022-02-06 15:36:17,70.4692,-68.5914,-34.37,67,0,6.91
17,Constitucion,CL,2022-02-06 15:36:18,-35.3333,-72.4167,73.13,51,2,6.04
18,Boyolangu,ID,2022-02-06 15:36:18,-8.1181,111.8935,74.95,97,100,5.1
19,Cesis,LV,2022-02-06 15:36:18,57.3119,25.2746,32.74,97,100,12.28
20,Lagoa,PT,2022-02-06 15:36:19,39.05,-27.9833,60.39,80,0,9.95
21,Maniitsoq,GL,2022-02-06 15:36:19,65.4167,-52.9,3.65,79,100,15.03
22,Bredasdorp,ZA,2022-02-06 15:34:13,-34.5322,20.0403,79.92,54,31,12.66
23,Cockburn Town,TC,2022-02-06 15:31:25,21.4612,-71.1419,80.56,47,40,13.8
24,Ilulissat,GL,2022-02-06 15:33:32,69.2167,-51.1,-0.38,46,100,3.44
25,Giddarbaha,IN,2022-02-06 15:36:20,30.2,74.6667,54.34,67,5,8.01
26,Kahului,US,2022-02-06 15:36:20,20.8947,-156.47,72.84,80,0,11.5
27,Rikitea,PF,2022-02-06 15:36:20,-23.1203,-134.9692,78.73,72,100,16.42
28,Hilo,US,2022-02-06 15:31:40,19.7297,-155.09,68.79,92,100,8.05
29,Nishihara,JP,2022-02-06 15:36:21,26.1842,127.7558,58.28,59,100,10.36
30,Sungaipenuh,ID,2022-02-06 15:36:21,-2.0833,101.3833,62.69,85,99,0.89
31,Oksfjord,NO,2022-02-06 15:36:21,70.2396,22.3479,32.18,83,24,14.27
32,Qaqortoq,GL,2022-02-06 15:36:21,60.7167,-46.0333,7.3,56,100,5.53
33,Sambava,MG,2022-02-06 15:36:22,-14.2667,50.1667,79.75,80,27,9.55
34,Lardos,GR,2022-02-06 15:36:22,36.0942,28.0157,58.95,62,68,6.93
35,Viedma,AR,2022-02-06 15:36:22,-40.8135,-62.9967,70.95,32,19,7.67
36,Guerrero Negro,MX,2022-02-06 15:36:22,27.9769,-114.0611,59.16,39,0,2.33
37,Tautira,PF,2022-02-06 15:36:23,-17.7333,-149.15,80.62,75,64,22.26
38,Kruisfontein,ZA,2022-02-06 15:36:23,-34.0033,24.7314,81.88,54,78,17.69
39,Kodiak,US,2022-02-06 15:36:23,57.79,-152.4072,38.71,70,0,10.36
40,Kavaratti,IN,2022-02-06 15:36:23,10.5669,72.642,78.53,66,44,8.59
41,Budogoshch,RU,2022-02-06 15:36:24,59.2816,32.4707,30.56,90,99,11.1
42,Mandalgovi,MN,2022-02-06 15:36:24,45.7625,106.2708,5.22,66,3,6.08
43,Norman Wells,CA,2022-02-06 15:36:24,65.282,-126.8329,-16.56,69,75,4.61
44,Bisira,PA,2022-02-06 15:36:24,8.5196,-81.7115,69.24,56,46,7.23
45,Alofi,NU,2022-02-06 15:37:25,-19.0595,-169.9187,73.29,100,100,1.14
46,Jamestown,US,2022-02-06 15:33:17,42.097,-79.2353,23.18,41,0,16.11
47,Hobart,AU,2022-02-06 15:37:25,-42.8794,147.3294,51.12,81,33,0.0
48,Ayan,RU,2022-02-06 15:37:26,56.45,138.1667,-6.05,76,66,11.21
49,Nuuk,GL,2022-02-06 15:37:26,64.1835,-51.7216,5.61,78,75,21.85
50,Burlington,US,2022-02-06 15:37:12,39.8835,-74.6413,31.37,56,0,8.01
51,Bambous Virieux,MU,2022-02-06 15:37:26,-20.3428,57.7575,80.85,78,75,12.66
52,Cidreira,BR,2022-02-06 15:37:27,-30.1811,-50.2056,80.67,54,23,12.39
53,Tuktoyaktuk,CA,2022-02-06 15:37:27,69.4541,-133.0374,-20.2,76,75,12.66
54,Khatanga,RU,2022-02-06 15:37:27,71.9667,102.5,-23.12,99,94,7.45
55,Barrow,US,2022-02-06 15:33:04,71.2906,-156.7887,-20.18,69,20,5.75
56,Malaya Serdoba,RU,2022-02-06 15:37:28,52.4661,44.9512,-0.15,99,26,5.26
57,Mortka,RU,2022-02-06 15:37:28,59.3322,66.0214,13.12,96,100,7.23
58,Seoul,KR,2022-02-06 15:35:06,37.5683,126.9778,26.11,48,0,4.61
59,Butaritari,KI,2022-02-06 15:37:28,3.0707,172.7902,81.09,78,60,15.3
60,Kamenka,RU,2022-02-06 15:37:29,51.3223,42.7678,21.74,97,100,6.69
61,Punta Arenas,CL,2022-02-06 15:36:05,-53.15,-70.9167,64.51,59,75,11.5
62,Manta,EC,2022-02-06 15:35:41,-0.95,-80.7333,76.78,83,100,4.61
63,Thompson,CA,2022-02-06 15:37:29,55.7435,-97.8558,-38.04,67,20,0.0
64,Ponta Delgada,PT,2022-02-06 15:37:29,37.7333,-25.6667,65.12,82,40,17.27
65,Saskylakh,RU,2022-02-06 15:37:30,71.9167,114.0833,-26.09,100,97,1.45
66,Kangaba,ML,2022-02-06 15:37:30,11.9333,-8.4167,95.72,5,3,4.83
67,Ndjole,GA,2022-02-06 15:37:30,-0.1783,10.7649,87.44,57,63,2.37
68,New Norfolk,AU,2022-02-06 15:37:30,-42.7826,147.0587,50.76,64,49,1.32
69,Qaanaaq,GL,2022-02-06 15:37:31,77.484,-69.3632,-12.8,62,73,8.34
70,Hithadhoo,MV,2022-02-06 15:37:31,-0.6,73.0833,82.89,70,28,11.34
71,Hermanus,ZA,2022-02-06 15:37:31,-34.4187,19.2345,84.9,68,8,11.52
72,Rawson,AR,2022-02-06 15:37:31,-43.3002,-65.1023,73.38,38,15,14.25
73,Piacabucu,BR,2022-02-06 15:37:32,-10.4056,-36.4344,87.37,58,13,13.82
74,Castro,BR,2022-02-06 15:37:32,-24.7911,-50.0119,76.26,71,81,8.14
75,Mahajanga,MG,2022-02-06 15:37:32,-15.7167,46.3167,84.22,74,20,14.97
76,Cumberland,US,2022-02-06 15:37:32,35.0502,-78.8664,39.07,52,0,10.36
77,Esperance,AU,2022-02-06 15:37:33,-33.8667,121.9,69.64,82,7,26.06
78,Dikson,RU,2022-02-06 15:37:33,73.5069,80.5464,-22.74,99,70,8.37
79,Busselton,AU,2022-02-06 15:37:33,-33.65,115.3333,56.08,69,71,16.55
80,Longyearbyen,SJ,2022-02-06 15:37:34,78.2186,15.6401,19.24,68,40,17.27
81,Cape Town,ZA,2022-02-06 15:35:00,-33.9258,18.4232,85.12,60,0,17.27
82,Montepuez,MZ,2022-02-06 15:37:34,-13.1256,38.9997,71.49,91,17,1.12
83,Mar Del Plata,AR,2022-02-06 15:35:17,-38.0023,-57.5575,66.22,100,75,20.0
84,Hobyo,SO,2022-02-06 15:37:34,5.3505,48.5268,77.14,68,16,13.8
85,Dingle,PH,2022-02-06 15:37:35,10.9995,122.6711,75.31,87,42,8.88
86,Innisfail,AU,2022-02-06 15:37:35,-17.5333,146.0333,72.68,89,60,5.01
87,San Jose,US,2022-02-06 15:35:15,37.3394,-121.895,56.21,69,20,0.0
88,Garowe,SO,2022-02-06 15:37:35,8.4054,48.4845,80.67,32,100,14.07
89,East London,ZA,2022-02-06 15:37:36,-33.0153,27.9116,74.34,88,20,23.02
90,Seymchan,RU,2022-02-06 15:37:36,62.8833,152.4333,-40.43,100,44,0.74
91,Margate,GB,2022-02-06 15:38:36,51.3813,1.3862,52.88,64,78,35.7
92,Saint George,US,2022-02-06 15:36:38,37.1041,-113.5841,43.36,55,0,0.0
93,Port Blair,IN,2022-02-06 15:38:37,11.6667,92.75,80.64,83,20,5.75
94,Comodoro Rivadavia,AR,2022-02-06 15:38:37,-45.8667,-67.5,76.86,33,0,9.22
95,Porto Murtinho,BR,2022-02-06 15:38:37,-21.6989,-57.8825,89.56,46,98,7.36
96,Provideniya,RU,2022-02-06 15:38:37,64.3833,-173.3,-3.05,79,0,9.04
97,San Cristobal,VE,2022-02-06 15:38:38,7.7669,-72.225,68.18,64,91,4.14
98,Sabang,ID,2022-02-06 15:38:38,5.8933,95.3214,80.35,81,100,15.55
99,Tasiilaq,GL,2022-02-06 15:38:38,65.6145,-37.6368,23.16,63,100,24.63
100,Beloha,MG,2022-02-06 15:38:38,-25.1667,45.05,74.86,92,100,21.7
101,Tiksi,RU,2022-02-06 15:38:39,71.6872,128.8694,-17.59,99,100,3.33
102,Lavrentiya,RU,2022-02-06 15:38:39,65.5833,-171.0,-12.39,91,5,6.78
103,Pisco,PE,2022-02-06 15:38:39,-13.7,-76.2167,69.85,83,99,9.22
104,Ribeira Grande,PT,2022-02-06 15:38:39,38.5167,-28.7,64.8,77,20,19.57
105,Nhulunbuy,AU,2022-02-06 15:38:40,-12.2333,136.7667,75.81,94,100,3.44
106,Lebu,CL,2022-02-06 15:38:40,-37.6167,-73.65,66.99,60,0,13.76
107,Sao Filipe,CV,2022-02-06 15:38:40,14.8961,-24.4956,75.34,67,0,11.12
108,Faanui,PF,2022-02-06 15:38:40,-16.4833,-151.75,80.89,74,95,20.69
109,Kapaa,US,2022-02-06 15:38:41,22.0752,-159.319,70.12,82,75,4.61
110,Upernavik,GL,2022-02-06 15:38:41,72.7868,-56.1549,-6.72,93,100,4.76
111,Arraial Do Cabo,BR,2022-02-06 15:38:41,-22.9661,-42.0278,91.26,52,0,17.27
112,Saint Anthony,US,2022-02-06 15:38:41,45.0205,-93.218,24.3,87,100,1.99
113,Jesus Carranza,MX,2022-02-06 15:38:42,17.4333,-95.0333,61.75,71,100,6.33
114,Havre-Saint-Pierre,CA,2022-02-06 15:38:42,50.2334,-63.5986,3.79,50,0,17.27
115,Mount Pleasant,US,2022-02-06 15:38:40,32.7941,-79.8626,43.07,58,100,4.0
116,Chuy,UY,2022-02-06 15:38:42,-33.6971,-53.4616,71.85,56,71,14.85
117,Saint-Philippe,RE,2022-02-06 15:38:43,-21.3585,55.7679,81.99,80,99,16.64
118,Angoche,MZ,2022-02-06 15:38:43,-16.2325,39.9086,80.78,78,87,7.81
119,Avarua,CK,2022-02-06 15:38:43,-21.2078,-159.775,71.65,100,20,3.44
120,Bethel,US,2022-02-06 15:37:30,41.3712,-73.414,23.2,58,0,1.99
121,Marawi,PH,2022-02-06 15:38:44,7.9986,124.2928,68.65,91,72,2.91
122,San Pedro,PH,2022-02-06 15:38:44,14.35,121.0167,79.36,78,20,9.22
123,Geraldton,AU,2022-02-06 15:38:44,-28.7667,114.6,70.21,52,100,17.27
124,Hebi,CN,2022-02-06 15:38:45,35.8992,114.1925,34.3,28,100,2.26
125,Grindavik,IS,2022-02-06 15:38:45,63.8424,-22.4338,30.67,74,40,11.5
126,Paamiut,GL,2022-02-06 15:38:45,61.994,-49.6678,4.69,75,100,8.34
127,Mahebourg,MU,2022-02-06 15:38:46,-20.4081,57.7,80.89,78,75,12.66
128,Kitui,KE,2022-02-06 15:38:46,-1.367,38.0106,74.1,45,88,6.06
129,Klaksvik,FO,2022-02-06 15:38:46,62.2266,-6.589,36.52,61,85,36.73
130,Severo-Kurilsk,RU,2022-02-06 15:38:46,50.6789,156.125,30.11,85,100,12.35
131,Yellowknife,CA,2022-02-06 15:36:48,62.456,-114.3525,-12.44,83,75,11.5
132,Nikolskoye,RU,2022-02-06 15:38:47,59.7035,30.7861,34.72,92,100,11.92
133,Ryde,GB,2022-02-06 15:34:48,50.73,-1.1621,53.19,87,80,14.0
134,Pimentel,PE,2022-02-06 15:38:47,-6.8367,-79.9342,75.49,69,20,9.22
135,San Patricio,US,2022-02-06 15:38:47,28.017,-97.5169,50.88,70,0,5.37
136,Buala,SB,2022-02-06 15:38:48,-8.145,159.5921,80.47,84,96,8.23
137,Half Moon Bay,US,2022-02-06 15:39:48,37.4636,-122.4286,54.48,80,20,0.0
138,Ballina,AU,2022-02-06 15:39:48,-28.8667,153.5667,71.56,77,75,14.97
139,Komsomolskiy,UZ,2022-02-06 15:39:48,40.4272,71.7189,43.52,75,75,6.91
140,Nanakuli,US,2022-02-06 15:39:48,21.3906,-158.1547,73.71,78,0,4.61
141,Nanortalik,GL,2022-02-06 15:39:49,60.1432,-45.2371,13.91,63,100,15.84
142,Daru,PG,2022-02-06 15:39:16,-9.0763,143.2092,79.47,84,99,4.54
143,Hasaki,JP,2022-02-06 15:37:06,35.7333,140.8333,23.4,39,0,23.87
144,Sioux Lookout,CA,2022-02-06 15:39:49,50.1001,-91.917,-0.02,78,100,6.91
145,Muscatine,US,2022-02-06 15:39:49,41.4667,-91.1335,33.66,60,0,1.01
146,Tessalit,ML,2022-02-06 15:39:50,20.1986,1.0114,80.11,6,0,5.37
147,Mwinilunga,ZM,2022-02-06 15:39:50,-11.7358,24.4293,69.89,76,96,6.6
148,Victoria,HK,2022-02-06 15:37:58,22.2855,114.1577,62.65,84,100,1.01
149,Turayf,SA,2022-02-06 15:39:50,31.6725,38.6637,52.05,62,40,9.22
150,Alta Floresta,BR,2022-02-06 15:39:50,-9.8756,-56.0861,85.82,74,40,2.3
151,Sobolevo,RU,2022-02-06 15:39:51,54.4299,31.8996,30.11,88,99,9.15
152,Vaini,TO,2022-02-06 15:38:47,-21.2,-175.2,73.56,100,100,13.8
153,Bend,US,2022-02-06 15:36:50,44.0582,-121.3153,40.8,51,0,5.99
154,Gizo,SB,2022-02-06 15:39:51,-8.103,156.8419,82.94,78,95,13.89
155,Cayenne,GF,2022-02-06 15:39:51,4.9333,-52.3333,83.08,81,100,5.99
156,Chamonix-Mont-Blanc,FR,2022-02-06 15:39:51,45.9238,6.8693,40.06,84,100,7.47
157,Estrela,BR,2022-02-06 15:39:52,-28.0611,-50.9383,80.49,37,14,10.13
158,Hambantota,LK,2022-02-06 15:38:59,6.1241,81.1185,80.94,89,40,3.44
159,Lovozero,RU,2022-02-06 15:39:52,68.005,35.0117,8.29,90,100,9.46
160,Dvinskoy,RU,2022-02-06 15:39:52,62.1535,45.1175,16.83,96,100,5.99
161,Voh,NC,2022-02-06 15:39:52,-20.9667,164.7,76.87,91,99,1.16
162,Muriti,TZ,2022-02-06 15:39:53,-1.9833,32.9167,77.11,63,60,4.34
163,Noumea,NC,2022-02-06 15:39:53,-22.2763,166.4572,76.98,90,100,3.51
164,Touros,BR,2022-02-06 15:39:53,-5.1989,-35.4608,90.5,52,17,12.66
165,Esso,RU,2022-02-06 15:39:53,55.9333,158.7,4.62,92,88,2.37
166,Fonte Boa,BR,2022-02-06 15:39:54,-2.4959,-66.2662,85.51,61,100,5.12
167,Pasighat,IN,2022-02-06 15:39:54,28.0667,95.3333,54.73,86,50,3.91
168,Yumen,CN,2022-02-06 15:39:17,40.2833,97.2,14.31,77,7,15.5
169,Nome,US,2022-02-06 15:39:54,64.5011,-165.4064,1.47,51,0,17.27
170,Fowa,NG,2022-02-06 15:39:54,8.9167,6.4,99.54,9,0,0.83
171,Cheney,US,2022-02-06 15:39:55,47.4874,-117.5758,32.77,95,100,3.44
172,Glace Bay,CA,2022-02-06 15:39:55,46.1969,-59.957,19.98,76,75,10.36
173,Kavieng,PG,2022-02-06 15:39:55,-2.5744,150.7967,81.55,78,100,3.78
174,Kysyl-Syr,RU,2022-02-06 15:39:55,63.8986,122.7617,-23.26,100,96,6.17
175,Katsuura,JP,2022-02-06 15:39:56,35.1333,140.3,36.1,44,5,12.19
176,Kaitangata,NZ,2022-02-06 15:39:56,-46.2817,169.8464,45.93,76,2,2.75
177,Chake Chake,TZ,2022-02-06 15:39:56,-5.2459,39.7666,81.0,76,100,7.47
178,Kattivakkam,IN,2022-02-06 15:39:57,13.2167,80.3167,81.07,77,99,9.15
179,Puerto Carreno,CO,2022-02-06 15:39:57,6.189,-67.4859,87.78,51,0,4.61
180,Vestmannaeyjar,IS,2022-02-06 15:39:57,63.4427,-20.2734,31.19,74,0,13.8
181,Ulety,RU,2022-02-06 15:39:57,51.3572,112.4849,13.26,89,95,8.52
182,Ponta Do Sol,PT,2022-02-06 15:39:58,32.6667,-17.1,69.12,52,11,11.7
183,Teguldet,RU,2022-02-06 15:39:58,57.3064,88.1667,13.33,92,100,5.37
184,Hofn,IS,2022-02-06 15:39:58,64.2539,-15.2082,32.02,51,0,18.41
185,Puri,IN,2022-02-06 15:39:58,19.8,85.85,66.72,51,50,7.23
186,Fortuna,US,2022-02-06 15:40:59,40.5982,-124.1573,38.32,93,0,8.05
187,Chikwawa,MW,2022-02-06 15:40:59,-16.0335,34.8009,86.67,76,27,1.28
188,Talnakh,RU,2022-02-06 15:38:51,69.4865,88.3972,-26.55,98,55,2.01
189,Laguna,US,2022-02-06 15:40:25,38.421,-121.4238,54.1,91,0,0.0
190,Chokurdakh,RU,2022-02-06 15:40:59,70.6333,147.9167,-38.99,100,98,2.24
191,Faya,SA,2022-02-06 15:41:00,18.3851,42.4509,57.31,67,5,5.59
192,Gushikawa,JP,2022-02-06 15:41:00,26.3544,127.8686,58.23,67,100,6.91
193,Ola,RU,2022-02-06 15:41:00,59.5833,151.2833,-0.58,76,22,9.53
194,Pevek,RU,2022-02-06 15:41:00,69.7008,170.3133,-24.48,99,29,1.32
195,Libenge,CD,2022-02-06 15:41:01,3.65,18.6333,94.59,18,59,3.62
196,Sao Felix Do Xingu,BR,2022-02-06 15:41:01,-6.6447,-51.995,87.51,61,98,2.68
197,Scarborough,GB,2022-02-06 15:39:03,54.2797,-0.4044,40.08,85,99,3.0
198,Rocha,UY,2022-02-06 15:40:17,-34.4833,-54.3333,71.87,43,86,17.4
199,Zeya,RU,2022-02-06 15:41:01,53.75,127.2667,-5.33,95,93,3.09
200,Takapau,NZ,2022-02-06 15:41:01,-40.0333,176.35,56.17,99,100,5.55
201,Ahuimanu,US,2022-02-06 15:41:02,21.4447,-157.8378,73.45,79,75,1.99
202,Maungaturoto,NZ,2022-02-06 15:41:02,-36.1,174.3667,67.68,99,100,7.45
203,Nyimba,ZM,2022-02-06 15:41:03,-14.5566,30.8149,70.11,95,100,2.44
204,Cochrane,CA,2022-02-06 15:40:12,51.1834,-114.4687,43.43,36,100,26.46
205,Saldanha,ZA,2022-02-06 15:41:03,-33.0117,17.9442,75.25,87,41,12.01
206,Ahipara,NZ,2022-02-06 15:40:30,-35.1667,173.1667,72.14,98,100,8.43
207,Chhatarpur,IN,2022-02-06 15:41:03,24.9,79.6,58.6,40,0,6.33
208,Copalillo,MX,2022-02-06 15:41:03,18.0333,-99.1167,71.91,39,1,2.73
209,Moron,AR,2022-02-06 15:41:04,-34.6534,-58.6198,68.02,54,13,11.52
210,Narsaq,GL,2022-02-06 15:41:04,60.9167,-46.05,7.02,56,100,2.48
211,Tazovskiy,RU,2022-02-06 15:41:04,67.4667,78.7,-22.0,100,93,4.36
212,Soe,ID,2022-02-06 15:41:05,-9.8607,124.284,67.33,94,60,3.11
213,Mundo Nuevo,MX,2022-02-06 15:41:05,18.7,-95.5,64.89,73,45,6.53
214,Samsun,TR,2022-02-06 15:41:05,41.25,36.3333,43.56,76,75,16.11
215,Calvinia,ZA,2022-02-06 15:41:05,-31.4707,19.776,84.79,25,61,15.19
216,Kurumkan,RU,2022-02-06 15:41:06,54.3,110.3,-2.04,95,88,3.6
217,Pangody,RU,2022-02-06 15:41:06,65.85,74.4859,-20.99,100,64,1.72
218,Letlhakane,BW,2022-02-06 15:41:06,-21.4167,25.5833,79.09,43,30,15.35
219,Kupang,ID,2022-02-06 15:41:06,-10.1667,123.5833,79.72,84,81,7.72
220,Tahoua,NE,2022-02-06 15:41:07,14.8888,5.2692,82.38,7,0,16.11
221,Tuatapere,NZ,2022-02-06 15:41:07,-46.1333,167.6833,41.83,91,3,4.03
222,Lichuan,CN,2022-02-06 15:41:07,30.3,108.85,26.37,98,100,2.37
223,Parrita,CR,2022-02-06 15:41:08,9.5201,-84.3225,93.25,46,0,5.66
224,Samarai,PG,2022-02-06 15:41:08,-10.6167,150.6667,81.23,81,100,13.56
225,Baghdad,IQ,2022-02-06 15:41:08,33.3406,44.4009,57.11,35,0,8.05
226,Torbay,CA,2022-02-06 15:41:08,47.6666,-52.7314,18.88,85,75,16.11
227,Georgetown,MY,2022-02-06 15:41:09,5.4112,100.3354,76.95,98,40,1.99
228,Kapoeta,SS,2022-02-06 15:40:23,4.7717,33.5903,88.79,18,99,6.64
229,Deputatskiy,RU,2022-02-06 15:41:09,69.3,139.9,-33.11,99,82,4.29
230,Togur,RU,2022-02-06 15:41:09,58.3631,82.8265,16.84,88,100,6.96
231,Carnarvon,AU,2022-02-06 15:42:10,-24.8667,113.6333,77.07,69,75,19.57
232,Talaya,RU,2022-02-06 15:42:10,61.3833,152.75,-35.54,88,6,2.33
233,Ocos,GT,2022-02-06 15:42:10,14.5094,-92.1933,91.72,55,6,4.52
234,Lufilufi,WS,2022-02-06 15:42:10,-13.8745,-171.5986,74.98,79,98,12.48
235,Palana,RU,2022-02-06 15:42:11,59.1167,159.9667,9.0,76,41,10.96
236,Marsh Harbour,BS,2022-02-06 15:42:11,26.5412,-77.0636,74.44,73,96,12.82
237,Ostrovnoy,RU,2022-02-06 15:40:19,68.0531,39.5131,15.49,84,100,22.19
238,Mayahi,NE,2022-02-06 15:42:11,13.9553,7.6712,84.81,8,0,13.82
239,Natal,BR,2022-02-06 15:42:11,-5.795,-35.2094,90.25,58,40,10.36
240,Samfya,ZM,2022-02-06 15:42:12,-11.3649,29.5565,68.94,88,99,3.42
241,Katherine,AU,2022-02-06 15:41:05,-14.4667,132.2667,77.32,94,100,0.0
242,Broome,US,2022-02-06 15:42:12,42.2506,-75.833,22.08,66,20,1.99
243,Nakamura,JP,2022-02-06 15:42:12,32.9833,132.9333,29.93,77,14,3.98
244,Magadan,RU,2022-02-06 15:42:13,59.5667,150.8,3.18,62,20,10.96
245,Maria Aurora,PH,2022-02-06 15:42:13,15.7967,121.4737,72.25,97,95,6.85
246,Umba,RU,2022-02-06 15:42:13,66.6871,34.3429,13.71,94,100,14.38
247,Kloulklubed,PW,2022-02-06 15:42:13,7.0419,134.2556,79.3,81,100,21.43
248,Souillac,MU,2022-02-06 15:42:14,-20.5167,57.5167,80.98,78,75,12.66
249,Bahia Honda,CU,2022-02-06 15:42:14,22.9036,-83.1592,77.74,56,5,9.31
250,Port Hedland,AU,2022-02-06 15:42:14,-20.3167,118.5667,86.05,79,40,12.66
251,Biak,ID,2022-02-06 15:42:14,-0.9131,122.8766,76.21,82,89,2.15
252,Iqaluit,CA,2022-02-06 15:38:45,63.7506,-68.5145,-34.31,65,20,1.99
253,Beringovskiy,RU,2022-02-06 15:42:15,63.05,179.3167,-16.82,98,15,9.1
254,La Paz,BO,2022-02-06 15:42:15,-16.5,-68.15,53.58,76,75,5.75
255,Nyurba,RU,2022-02-06 15:42:15,63.2842,118.3319,-3.6,98,100,5.14
256,Aswan,EG,2022-02-06 15:37:17,24.0934,32.907,64.85,25,0,11.95
257,Cherskiy,RU,2022-02-06 15:42:15,68.75,161.3,-30.37,100,37,1.45
258,Arrecife,ES,2022-02-06 15:37:35,28.963,-13.5477,69.87,68,0,25.32
259,Baiyin,CN,2022-02-06 15:42:16,36.5583,104.2081,16.68,88,75,5.7
260,Sept-Iles,CA,2022-02-06 15:41:38,50.2001,-66.3821,3.06,52,20,3.0
261,Nouadhibou,MR,2022-02-06 15:42:16,20.931,-17.0347,73.38,68,5,11.5
262,Poum,NC,2022-02-06 15:42:16,-20.2333,164.0167,79.32,83,100,9.15
263,Taltal,CL,2022-02-06 15:42:17,-25.4,-70.4833,71.37,67,2,6.38
